,GFNORTEO.MX,VOLARA.MX,MXNUSD=X,USD/MXN,US Treasury 10Y,Tasa Interés MX
GFNORTEO.MX,1.0,-0.12857877877034946,0.21411413388198838,-0.11478173047362618,-0.08327797458923304,
VOLARA.MX,-0.12857877877034946,1.0,-0.892331513271066,0.871407899364265,0.8070175844223451,
MXNUSD=X,0.21411413388198838,-0.892331513271066,1.0,-0.8233005356004285,-0.7963583408549408,
USD/MXN,-0.11478173047362618,0.871407899364265,-0.8233005356004285,1.0,0.7251229224539933,
US Treasury 10Y,-0.08327797458923304,0.8070175844223451,-0.7963583408549408,0.7251229224539933,1.0,
Tasa Interés MX,,,,,,
