fecha,usdmxn_fix,returns_usd_mxn
2024-05-21,16.6138,0.002832982612390577
2024-05-22,16.6405,0.001605807714336214
2024-05-23,16.6945,0.003239840842031057
2024-05-24,16.7023,0.0004671106298701884
2024-05-27,16.6568,-0.0027278930316049855
2024-05-28,16.7457,0.0053229674370172215
2024-05-29,16.95,0.01212632493059442
2024-05-30,16.9377,-0.0007259271381736926
2024-05-31,17.0177,0.004712072190232444
2024-06-03,17.6338,0.03556353599578884
2024-06-04,17.8607,0.012785253534995636
2024-06-05,17.5592,-0.017024739326693124
2024-06-06,17.5335,-0.0014646923488114746
2024-06-07,18.2622,0.040720013103371096
2024-06-10,18.3848,0.00669088642339036
2024-06-11,18.4457,0.003307044732108097
2024-06-12,18.7832,0.01813157230824345
2024-06-13,18.5385,-0.013113202585148026
2024-06-14,18.4512,-0.0047202416938714265
2024-06-17,18.5248,0.003980965880656988
2024-06-18,18.4128,-0.006064299967511254
2024-06-19,18.423,0.0005538090803346224
2024-06-20,18.4027,-0.0011024910351301448
2024-06-21,18.1848,-0.011911312677105398
2024-06-24,17.9627,-0.012288694652393531
2024-06-25,18.1372,0.009667692105748275
2024-06-26,18.2215,0.0046371377996930205
2024-06-27,18.3773,0.008513991777624266
2024-06-28,18.2478,-0.007071682517000735
2024-07-01,18.3897,0.007746200452657125
2024-07-02,18.2485,-0.007707840399715697
2024-07-03,18.1355,-0.006211541519643359
2024-07-04,18.0958,-0.0021914762036412475
2024-07-05,18.0977,0.00010499122780312867
2024-07-08,18.0095,-0.004885461926031784
2024-07-09,17.9428,-0.003710476187897846
2024-07-10,17.8288,-0.006373792949685365
2024-07-11,17.8192,-0.0005385996539538501
2024-07-12,17.6502,-0.0095294128968339
2024-07-15,17.7837,0.007535192663929366
2024-07-16,17.6795,-0.00587653115718525
2024-07-17,17.7438,0.0036303828621895746
2024-07-18,17.8907,0.008244865630820471
2024-07-19,17.997,0.0059240525794466425
2024-07-22,17.9107,-0.004806777719776053
2024-07-23,18.0987,0.010441812868660716
2024-07-24,18.3458,0.013560552981168143
2024-07-25,18.385,0.0021344492841168686
2024-07-26,18.4475,0.00339374519714933
2024-07-29,18.6818,0.012620927951050583
2024-07-30,18.79,0.005775025523938524
2024-07-31,18.597,-0.010324536037481822
2024-08-01,18.706,0.005844050624467196
2024-08-02,19.0442,0.01791826526014672
2024-08-05,19.3905,0.018020662137469164
2024-08-06,19.33,-0.0031249621897355534
2024-08-07,19.189,-0.0073210950326341685
2024-08-08,19.09,-0.005172560449949082
2024-08-09,18.8368,-0.013352234395860904
2024-08-12,19.032,0.010309369658861287
2024-08-13,19.0387,0.0003519767206364634
2024-08-14,18.8478,-0.010077553513849149
2024-08-15,18.6513,-0.01048034745307287
2024-08-16,18.6228,-0.0015292122709286528
2024-08-19,18.7357,0.006044158288133006
2024-08-20,18.9448,0.011098692768099659
2024-08-21,19.2535,0.01616337484901405
2024-08-22,19.4235,0.008790810806178533
