,GFNORTEO.MX,VOLARA.MX,MXNUSD=X,USD/MXN,US Treasury 10Y,Tasa Interés MX
GFNORTEO.MX,1.0,-0.39053335159068103,0.30116021319425695,-0.3802907740542066,-0.25775103268168537,
VOLARA.MX,-0.39053335159068103,1.0,-0.8751006684494521,0.8809848801903556,0.7828442513797289,
MXNUSD=X,0.30116021319425695,-0.8751006684494521,1.0,-0.7929976296391504,-0.7642649275423637,
USD/MXN,-0.3802907740542066,0.8809848801903556,-0.7929976296391504,1.0,0.7049831501608504,
US Treasury 10Y,-0.25775103268168537,0.7828442513797289,-0.7642649275423637,0.7049831501608504,1.0,
Tasa Interés MX,,,,,,
