date,title,summary,source,link,sentiment_score
2024-11-05 01:04:35,Elección de EU puede llevar al tipo de cambio a 20.42 pesos,"Esta semana el principal catalizador para el tipo de cambio será el resultado electoral en Estados Unidos, proceso en el que no hay un claro ganador entre Trump y Harris.",expansion,https://expansion.mx/mercados/2024/11/04/eleccion-eu-tipo-cambio-semana-4-8-noviembre-21-pesos,0.5
2024-11-04 23:29:14,Peso aprovecha debilitamiento del dólar previo a las elecciones en EU,Se anticipa un resultado ajustado en los comicios estadounidenses y un recorte de 25 puntos base a la tasa de interés de la Reserva Federal.,expansion,https://expansion.mx/mercados/2024/11/04/tipo-cambio-cierre-4-noviembre-previo-elecciones-eeuu,0.0
2024-11-04 21:34:02,Regional (Banregio y Hey Banco) mantiene crecimiento positivo en el 3T24,Banregio impulsa su expansión y liderazgo digital con un ambicioso plan de crecimiento hacia 2028. La estrategia incluye la apertura de entre 20 y 30 sucursales anuales.,expansion,https://expansion.mx/mercados/2024/11/04/regional-banregio-y-hey-banco-mantiene-crecimiento-positivo-en-el-3t24,0.5
2024-11-04 15:04:49,Peso avanza a la espera del resultado electoral en Estados Unidos,"La apreciación de la moneda mexicana se da a la par del debilitamiento global del dólar, sin embargo, se mantienen los riesgos al alza en el tipo de cambio.",expansion,https://expansion.mx/mercados/2024/11/04/tipo-de-cambio-dolar-peso-mexicano-hoy,-0.5
2024-11-01 22:17:02,Peso suma cuatro semanas consecutivas de retroceso frente al dólar,Uno de los factores que provocaron la depreciación del peso es la aversión al riesgo en anticipación al triunfo electoral de Donald Trump el 5 de noviembre.,expansion,https://expansion.mx/mercados/2024/11/01/tipo-cambio-peso-1-noviembre,-0.5
2024-11-01 15:01:28,Tipo de cambio baja de los 20 pesos por datos de empleo,La moneda mexicana se apreciaba en la apertura de la sesión luego de que se dieran a conocer los débiles datos de empleo en Estados Unidos.,expansion,https://expansion.mx/mercados/2024/11/01/peso-mexicano-a-dolar-1-noviembre,-0.6666666666666666
2024-10-31 22:38:41,Peso recupera terreno este jueves; registra pérdida mensual frente al dólar,"La moneda mexicana se acercó a los 20 pesos por dólar, luego de que la víspera alcanzara su peor nivel en más de dos años.",expansion,https://expansion.mx/mercados/2024/10/31/tipo-cambio-peso-dolar-31-octubre,0.0
2024-10-31 14:54:31,Peso recupera terreno frente al dólar tras decisión del Banco de Japón,La apreciación de la moneda mexicana ocurre a la par del debilitamiento global del dólar ante la perspectiva de recortes de la Fed a su tasa de interés.,expansion,https://expansion.mx/mercados/2024/10/31/peso-mexicano-a-dolar-hoy-31-octubre,0.0
2024-10-30 22:48:06,Peso cierra en su peor nivel desde agosto de 2022,El aumento de una eventual victoria de Donald Trump en Estados Unidos ha hecho que la moneda mexicana se debilite y la estadounidense se fortalezca.,expansion,https://expansion.mx/mercados/2024/10/30/tipo-cambio-cierre-peor-nivel-agosto-elecciones-eeuu-2024,0.0
2024-10-30 19:09:52,"Triunfo de Trump llevaría al tipo de cambio a 21 pesos, dicen analistas","De confirmarse una nueva victoria de Trump, la moneda podría sufrir presiones que la llevarían a alcanzar las 21 unidades por dólar la misma tarde de los comicios, estiman analistas.",expansion,https://expansion.mx/mercados/2024/10/30/peso-depreciacion-eleccion-eu-trump,0.0
