fecha,usdmxn_fix,returns_usd_mxn,returns,sma_5,volatility_5,rsi_5,momentum_5,sma_10,volatility_10,rsi_10,momentum_10,sma_20,volatility_20,rsi_20,momentum_20
2024-05-16,16.6893,,,,,,,,,,,,,,
2024-05-17,16.6217,-0.0040587249136483,-0.004058724913648346,,,,,,,,,,,,
2024-05-20,16.5668,-0.0033083779065057,-0.0033083779065057567,,,,,,,,,,,,
2024-05-21,16.6138,0.0028329826123905,0.002832982612390577,,,,,,,,,,,,
2024-05-22,16.6405,0.0016058077143362,0.001605807714336214,16.626420000000003,,37.56371049949016,,,,,,,,,
2024-05-23,16.6945,0.003239840842031,0.003239840842031057,16.62746,0.05527667983251389,51.03916866506836,1.000311576878599,,,,,,,,
2024-05-24,16.7023,0.0004671106298701,0.0004671106298701884,16.643580000000004,0.041687222666475864,71.1659663865547,1.004849082825463,,,,,,,,
2024-05-27,16.6568,-0.0027278930316049,-0.0027278930316049855,16.661580000000004,0.037974558000427275,74.86187845303851,1.0054325518506892,,,,,,,,
2024-05-28,16.7457,0.0053229674370172,0.0053229674370172215,16.687959999999997,0.04799380930675554,79.58725886047523,1.0079391830887574,,,,,,,,
2024-05-29,16.95,0.0121263249305944,0.01212632493059442,16.749859999999998,0.0889599678194931,88.63920099875145,1.0185992007451699,16.68814,,71.84514831573661,,,,,
2024-05-30,16.9377,-0.0007259271381736,-0.0007259271381736926,16.7985,0.09449501359865022,83.89074693422505,1.0145676719877803,16.712979999999998,0.07672869574285492,70.39408866995082,1.0148837878161456,,,,
2024-05-31,17.0177,0.0047120721902324,0.004712072190232444,16.861579999999996,0.09241339340864882,86.58932714617166,1.018883626805889,16.752580000000002,0.07146114975280328,81.86353395558416,1.023824277901779,,,,
2024-06-03,17.6338,0.0355635359957888,0.03556353599578884,17.05698,0.2263301844495391,98.77196485623006,1.058654723596369,16.859280000000002,0.17566290659388195,95.11246406223573,1.0644059202742835,,,,
2024-06-04,17.8607,0.0127852535349956,0.012785253534995636,17.279980000000002,0.21981398365580979,98.92067392067395,1.0665842574511666,16.98397,0.17735190383767035,95.7577981651376,1.0750520651506579,,,,
2024-06-05,17.5592,-0.0170247393266931,-0.017024739326693124,17.40182,0.30652994059318145,74.62807244501941,1.0359410029498526,17.07584,0.21465213137947936,78.05533500274841,1.0552086776238696,,,,
2024-06-06,17.5335,-0.0014646923488114,-0.0014646923488114746,17.52098,0.3077548533821572,73.82818749000157,1.0351759684018491,17.15974,0.21724523931854428,76.07209446861398,1.05025607235916,,,,
2024-06-07,18.2622,0.040720013103371,0.040720013103371096,17.76988,0.3873871753497201,82.76897150982143,1.0731297413869088,17.315730000000002,0.2793328426207946,83.47568565174466,1.0933943229375593,,,,
2024-06-10,18.3848,0.0066908864233903,0.00669088642339036,17.920080000000002,0.33772498648884364,76.71837199373834,1.0425886649502658,17.48853,0.27223910456005646,85.89530535936846,1.103741414917631,,,,
2024-06-11,18.4457,0.003307044732108,0.003307044732108097,18.037079999999996,0.33656910939760293,73.60012909472314,1.0327534755076788,17.658530000000003,0.2733677520213208,85.72929802437996,1.1015185988044691,,,,
2024-06-12,18.7832,0.0181315723082434,0.01813157230824345,18.28188,0.2675902822673298,97.98494589932567,1.0697070481570914,17.84185,0.2765232472680448,86.48594857097362,1.1081533923303837,17.264995,,83.67589822766895,
2024-06-13,18.5385,-0.013113202585148,-0.013113202585148026,18.48288,0.316817420145339,83.6255353319057,1.0573188467790229,18.00193,0.29657933325293173,79.16271952197035,1.0945110611240014,17.357454999999998,0.21962965204416038,77.57037213740455,1.1108015315201956
2024-06-14,18.4512,-0.0047202416938714,-0.0047202416938714265,18.52068,0.18740887192802727,61.07854630715121,1.0103492459835068,18.14528,0.3041093358038603,76.04564119335727,1.084235825052739,17.44893,0.2200138984259433,77.11736281979067,1.1100669606598603
2024-06-17,18.5248,0.0039809658806569,0.003980965880656988,18.54868,0.18414863827552194,58.706467661691555,1.0076149862930246,18.23438,0.262723713541651,70.16384538788805,1.050527963343125,17.54683,0.2177759666446502,78.86202830188674,1.1181881835961078
2024-06-18,18.4128,-0.0060642999675112,-0.006064299967511254,18.542099999999998,0.1903248745955392,48.076248392001055,0.9982163864748967,18.28959,0.26397895668823695,63.179756505132474,1.0309114424406658,17.636779999999998,0.2215252401246336,76.0196702343072,1.1082834751832813
2024-06-19,18.423,0.0005538090803346,0.0005538090803346224,18.470059999999997,0.10415128261309052,15.877226222053281,0.9808232888964605,18.375970000000002,0.2402412498616121,73.95186335403724,1.049193585129163,17.725905,0.22177920928989703,75.90466501961923,1.1071181755355908
2024-06-20,18.4027,-0.0011024910351301,-0.0011024910351301448,18.442899999999998,0.064294479625011,27.620303230058852,0.9926747039943901,18.462889999999998,0.23998343967895355,74.17399043275118,1.0495736732540564,17.811315,0.22279247255662457,75.07044734061289,1.1023211237233819
2024-06-21,18.1848,-0.0119113126771053,-0.011911312677105398,18.38962,0.09841033091184563,19.30875576036813,0.9855619146722164,18.455149999999996,0.1471110664520098,46.99300699300696,0.9957617373591352,17.88544,0.23024579962953193,70.4940695070364,1.0887602306269195
2024-06-24,17.9627,-0.0122886946523935,-0.012288694652393531,18.2772,0.09435029799195356,1.7510729613729978,0.9696568923821042,18.41294,0.15217242523579744,34.77821853588176,0.9770408163265308,17.950735,0.23650595501893873,67.21233689205224,1.0784004130445224
