fecha,usdmxn_fix,returns_usd_mxn,returns,sma_5,volatility_5,rsi_5,momentum_5,sma_10,volatility_10,rsi_10,momentum_10,sma_20,volatility_20,rsi_20,momentum_20,mean_5,std_5,skew_5,kurt_5,mean_10,std_10,skew_10,kurt_10,mean_20,std_20,skew_20,kurt_20
2024-08-23,19.0708,-0.0183253037545279,-0.018325303754527938,19.08566,0.2131331626630658,69.42084272585384,1.0240565328522024,18.962089999999996,0.17858022429558454,56.60569105691054,1.0124224921430391,18.963810000000002,0.1764176847017113,58.52924272694927,1.0337877761214256,0.004754346591379462,0.013426127251122594,-1.8052012568524343,3.6394266520025886,0.0012345966098544388,0.011249496727625034,-0.4861949011769456,-0.9137953323921657,0.0016614754744977527,0.011113269537965053,-0.10946490752135897,-1.1794542604767508
2024-08-26,19.382,0.0161864308720188,0.016186430872018834,19.21492,0.22860109428964795,73.90693201154095,1.0344956420096394,18.99709,0.18907127890611886,59.27299703264099,1.0183900798654897,18.998820000000002,0.17977742390246168,59.38404631714382,1.0374803284480083,0.0067828011081566275,0.014400515355419908,-1.9649556201350347,4.014821393418036,0.0018223027311701934,0.011910371048821972,-0.3815357523886605,-1.0549845475634936,0.0018397506205461648,0.01132491321404173,-0.08553823800721734,-1.214238136333064
2024-08-27,19.6692,0.0147091601888191,0.014709160188819174,19.3598,0.2342623079267209,75.3322142957056,1.0382374055149697,19.06014,0.19939971595463302,64.54306407713247,1.0331167569214286,19.04278,0.18508986487323664,61.24354186914935,1.0467908461947846,0.007504894592300531,0.014757138293574728,-2.016674584406244,4.102023317167465,0.003258021077988464,0.012561001426497078,-0.6057598800311903,-1.1617697761010501,0.0022864573537901976,0.011659565539360327,-0.1297666810308749,-1.3511320038038068
2024-08-28,19.6037,-0.0033356365703565,-0.003335636570356515,19.429840000000002,0.22971434071454397,64.75644699140398,1.0181889007193499,19.13573,0.18939604716329017,68.50609606815846,1.0401054765012363,19.093115,0.18037669619793065,63.30804008143193,1.0541323869441306,0.0036050923084264184,0.014470643288472446,-1.0150125579587612,-0.17161932182390535,0.003932212772337728,0.011930829526017286,-0.748556241765144,-0.527430233716195,0.002635902327146463,0.011362663820266055,-0.16988867180562275,-1.2005709016166983
2024-08-29,19.8168,0.0108117388583704,0.010811738858370478,19.5085,0.23301286436899546,65.99170529397408,1.0202486678507994,19.25228,0.17352360670577663,78.30394871047649,1.0624889417895804,19.148654999999998,0.18239914044533231,64.2908604363936,1.0593820164653054,0.0040092779188648075,0.014678430747599652,-1.0792992289574121,-0.21852536682810828,0.006061421403482063,0.010930959760534879,-1.361067481290537,1.6613365664044488,0.0028842867388416274,0.011490065832626009,-0.2165739084951479,-1.2652178199483597
2024-08-30,19.6535,-0.0082746232865332,-0.008274623286533252,19.62504,0.17635763269303825,78.00634432375284,1.0305545650942805,19.355349999999998,0.18472781411180922,73.49227332816697,1.0553461348454583,19.17912,0.1773929959331802,58.208271588306644,1.0319939929217294,0.006019414012463744,0.011109486616996511,-0.5840909832017632,-2.557737461960022,0.0053868803019216024,0.011636758485152743,-1.131627932692587,0.3439882983202663,0.0015746423115076285,0.011174708370568739,-0.04352593864097839,-1.300870824036597
2024-09-02,19.798,0.0073254829949572,0.007325482994957243,19.70824,0.1539739452580581,73.80952380952374,1.021463213290682,19.46158,0.18496729693522335,73.86869186177137,1.0566992426223731,19.199495000000002,0.16805877763035026,55.805339487705496,1.0210154457079497,0.004247224437051426,0.009699446846102255,-0.4302495026761303,-2.0941143038097714,0.0055150127726040265,0.01165184448501049,-1.1678631061224098,0.3992463819046727,0.0010398833543820323,0.010586707886938374,-0.0925216139247785,-1.2191279702085758
2024-09-03,19.8335,0.0017915047118953,0.0017915047118953781,19.7411,0.12284099238047799,63.20951921530799,1.0083531612876986,19.55045,0.18299068631079268,71.65764975386261,1.046909970018158,19.22467,0.16734740517245522,57.22443825867367,1.02604759441283,0.0016636933416666673,0.0077382551581696435,-0.14341714498921565,-1.5816826290459087,0.004584293966983598,0.01152732971950926,-0.9230772740011908,0.05229100792139972,0.0012857066994635788,0.010541895634244777,-0.16782302213868705,-1.166325779414427
2024-09-04,19.846,0.0006300482825388,0.0006300482825388125,19.78956,0.11569134046650585,71.29548251010726,1.0123599116493316,19.609699999999997,0.17173730484890726,66.8755340358872,1.030773625574571,19.25752,0.16427548499759576,59.78785531255588,1.0342383657303664,0.0024568303122457324,0.0072878694218589946,-0.5852062841933334,0.2899109083954852,0.0030309613103360745,0.010818433320540373,-0.7512172832421327,0.1171068598337115,0.001683263865222228,0.010348382852575248,-0.2719095564385643,-0.9789013724780025
2024-09-05,20.0028,0.0078697882628558,0.00786978826285582,19.82676,0.10355508777368926,68.142801404604,1.009385975535909,19.66763,0.17093273919124605,66.6245767089479,1.0298246968877907,19.303160000000002,0.1635782766432691,63.36848271821911,1.0478156102671556,0.0018684401931428007,0.006523357362967788,-1.000828778842645,0.8155505058215837,0.002938859056003803,0.010767750448073831,-0.7384524828008515,0.1520707214601314,0.002335381300862473,0.010304462854538465,-0.45676940529680427,-0.8299130538603793
