,GFNORTEO.MX,VOLARA.MX,MXNUSD=X,USD/MXN
GFNORTEO.MX,1.0,-0.6503216424030824,0.4512365448213731,-0.6463865569130959
VOLARA.MX,-0.6503216424030824,1.0,-0.8892426072932804,0.9210379285982074
MXNUSD=X,0.4512365448213731,-0.8892426072932804,1.0,-0.836224332739131
USD/MXN,-0.6463865569130959,0.9210379285982074,-0.836224332739131,1.0
