,Open,High,Low,Close,Volume,returns,volatility,daily_range,gap,sma_20,ema_20,bb_high,bb_low,bb_mid,rsi,macd,stoch_k,stoch_d,volume_sma,volume_ratio,GFNORTEO.MX_returns,GFNORTEO.MX_volatility,GFNORTEO.MX_rsi,VOLARA.MX_returns,VOLARA.MX_volatility,VOLARA.MX_rsi
2024-10-14,0.05181470885872841,0.05201181769371033,0.05163649097084999,0.05181470885872841,0.0,,,0.0003753267228603363,,,,,,,,,,,,,,,,,,
2024-10-15,0.05147753655910492,0.05163102224469185,0.05084532871842384,0.05147753655910492,0.0,-0.006528534563884998,,0.0007856935262680054,-0.0003371722996234894,,,,,,,,,,,,0.02130337930422556,,,0.06698047876293986,,
2024-10-16,0.05077404901385307,0.050856683403253555,0.050169751048088074,0.05077404901385307,0.0,-0.013760151321649356,,0.0006869323551654816,-0.0007034875452518463,,,,,,,,,,,,-0.03289056984279909,,,0.05775103789946854,,
2024-10-17,0.05025453865528107,0.050448231399059296,0.04993950203061104,0.05025453865528107,0.0,-0.010284513515500351,,0.0005087293684482574,-0.0005195103585720062,,,,,,,,,,,,0.0031169701913243046,,,-0.01814931900831225,,
2024-10-18,0.050462208688259125,0.05091468244791031,0.05038963630795479,0.050462208688259125,0.0,0.004123848967737724,,0.0005250461399555206,0.00020767003297805786,,,,,,,,,,,,0.013054076522807021,,,0.03879796791618608,,
2024-10-21,0.05033077299594879,0.050353989005088806,0.049849800765514374,0.05033077299594879,0.0,-0.0026080341034561663,,0.0005041882395744324,-0.00013143569231033325,,,,,,,,,,,,-0.015546811478560681,,,-0.012052547343449526,,
2024-10-22,0.05009819194674492,0.050583966076374054,0.050087474286556244,0.05009819194674492,0.0,-0.0046317606705837955,,0.0004964917898178101,-0.00023258104920387268,,,,,,,,,,,,-0.0184018124335059,,,0.017674549310283515,,
2024-10-23,0.050160013139247894,0.050230808556079865,0.04976857453584671,0.050160013139247894,0.0,0.0012332397190867386,,0.0004622340202331543,6.182119250297546e-05,,,,,,,,,,,,0.020410285469676274,,,-0.021247271184172068,,
2024-10-24,0.050422389060258865,0.050640858709812164,0.05026818439364433,0.050422389060258865,0.0,0.005217145552278164,,0.0003726743161678314,0.00026237592101097107,,,,,,,,,,,,-0.014355630217449932,,,0.0035727218738884755,,
2024-10-25,0.05046885833144188,0.05060088261961937,0.05019286647439003,0.05046885833144188,0.0,0.0009211755364389962,,0.0004080161452293396,4.6469271183013916e-05,,,,,,,,,,,,-0.014208661267268512,,,0.009229682873050343,,
2024-10-28,0.05013393238186836,0.050160013139247894,0.049776382744312286,0.05013393238186836,0.0,-0.006658407477419997,,0.0003836303949356079,-0.00033492594957351685,,,,,,,,,,,,0.008577597936458533,,,0.016123763120984864,,
2024-10-29,0.04992825165390968,0.05011727660894394,0.04982893541455269,0.04992825165390968,0.0,-0.004111063927339281,,0.0002883411943912506,-0.0002056807279586792,,,,,,,,,,,,-0.019026463335779932,,,0.026082474427985988,,
2024-10-30,0.04986591264605522,0.050016503781080246,0.04946097359061241,0.04986591264605522,0.0,-0.0012493519315563283,,0.0005555301904678345,-6.233900785446167e-05,,,,,,,,,,,,-0.007365216977079087,,,0.010111283863491713,,
2024-10-31,0.0495934821665287,0.049948301166296005,0.04954984039068222,0.0495934821665287,0.0,-0.00547823886054712,,0.0003984607756137848,-0.0002724304795265198,,,,,,17.68555959229765,,5.194695189539925,,,,0.012030532531767318,,38.61320750973858,0.0006704813464326606,,82.51068537413475
2024-11-01,0.04987359791994095,0.0501859113574028,0.049808088690042496,0.04987359791994095,0.0,0.005632345770784109,,0.0003778226673603058,0.0002801157534122467,,,,,,28.261149418713103,,19.014519722995683,,,,0.01633561273477759,,46.001004574643375,0.0,,82.51068537413475
2024-11-04,0.04979628324508667,0.05013260245323181,0.04958939924836159,0.04979628324508667,0.0,-0.0015514153214167118,,0.000543203204870224,-7.731467485427856e-05,,,,,,27.221585797694587,,23.06580528769152,15.758340066742377,,,0.008138708167538741,,49.31416347648037,0.007345586109345199,,83.42295682576464
2024-11-05,0.04976634681224823,0.04982064291834831,0.04914466291666031,0.04976634681224823,0.0,-0.0006013588376153626,,0.0006759800016880035,-2.993643283843994e-05,,,,,,26.81035408285736,,35.122996363146555,25.734440457944586,,,0.0,,49.31416347648037,-0.003332238467744764,,81.34588321809001
2024-11-06,0.04967315122485161,0.04966549947857857,0.04807807877659798,0.04967315122485161,0.0,-0.001874418445843557,,0.0015874207019805908,-9.31955873966217e-05,,,,,,25.517948232818966,,56.23176985862406,38.14019050315405,,,0.0346116632336615,,61.28397497816754,-0.012764673387282844,,73.8239534876628
2024-11-07,0.04958593472838402,0.05060677230358124,0.04949786886572838,0.04958593472838402,0.0,-0.0017573508374727478,,0.0011089034378528595,-8.721649646759033e-05,,,,,,24.335649361575406,,58.836731638323634,50.06383262003143,,,0.009004304886094458,,63.73607818213475,0.021405479419621513,,77.58355664984934
2024-11-08,0.05052145943045616,0.050590645521879196,0.049437329173088074,0.05052145943045616,0.0,0.01869096574551858,,0.0011533163487911224,0.0009355247020721436,0.05025008097290993,0.05029330737119378,0.05139153114081655,0.04910863080500331,0.05025008097290993,50.713951121174496,,95.34102488440142,70.13650879378304,0.0,,-0.02293817717451184,,54.35664907147706,0.007910383287272312,,78.81250469455532
2024-11-11,0.04965835064649582,0.04971686378121376,0.04863110929727554,0.04965835064649582,0.0,-0.017231618626634318,0.12091975636510197,0.0010857544839382172,-0.0008631087839603424,0.0501422630622983,0.05023283530217493,0.05105704530416949,0.049227480820427105,0.0501422630622983,37.66694466041014,,61.66241000318341,71.94672217530282,0.0,,-0.0013699468377561092,0.27962646943204444,53.85309822805927,0.013046549302788318,0.36417898126716347,80.71061202992988
2024-11-12,0.0485934354364872,0.04862158000469208,0.04857233539223671,0.04859086498618126,0.0,-0.021731016618690056,0.13895785756820359,4.924461245536804e-05,-0.0010649152100086212,0.049997929483652115,0.0500764571768422,0.05093509220068941,0.04906076676661482,0.049997929483652115,28.053950924400695,,20.008983328512183,59.00413940536567,0.0,,0.00020559079452310062,0.2681240307203712,53.92204526548166,0.029376316001689478,0.3083176998778249,84.21357692206438
